Date,Description,Amount,Type
2024-01-05,Starbucks Coffee,5.50,debit
2024-01-06,Salary Deposit,3500.00,credit
2024-01-07,Uber Ride,15.25,debit
2024-01-08,Whole Foods Market,85.40,debit
2024-01-10,Netflix Subscription,15.99,debit
2024-01-12,Shell Gas Station,45.00,debit
2024-01-15,Amazon Purchase,125.50,debit
2024-01-18,Spotify Premium,9.99,debit
2024-01-20,CVS Pharmacy,28.75,debit
2024-01-22,Chipotle,12.50,debit
2024-01-25,Electric Bill,95.00,debit
2024-01-28,Target,68.25,debit
2024-02-01,Rent Payment,1200.00,debit
2024-02-05,Starbucks Coffee,6.00,debit
2024-02-06,Salary Deposit,3500.00,credit
2024-02-08,Uber Ride,18.50,debit
2024-02-10,Trader Joes,72.30,debit
2024-02-10,Netflix Subscription,15.99,debit
2024-02-12,Shell Gas Station,48.00,debit
2024-02-15,Amazon Purchase,89.99,debit
2024-02-18,Spotify Premium,9.99,debit
2024-02-20,Walgreens,15.50,debit
2024-02-22,Pizza Hut,25.00,debit
2024-02-25,Water Bill,35.00,debit
2024-02-28,Walmart,95.75,debit
2024-03-01,Rent Payment,1200.00,debit
2024-03-05,Starbucks Coffee,5.75,debit
2024-03-06,Salary Deposit,3500.00,credit
2024-03-08,Lyft Ride,22.00,debit
2024-03-10,Whole Foods Market,91.20,debit
2024-03-10,Netflix Subscription,15.99,debit
2024-03-12,Chevron Gas,52.00,debit
2024-03-15,Amazon Purchase,156.00,debit
2024-03-18,Spotify Premium,9.99,debit
2024-03-20,CVS Pharmacy,42.50,debit
2024-03-22,Subway,8.50,debit
2024-03-25,Internet Bill,65.00,debit
2024-03-28,Best Buy,450.00,debit
2024-03-30,Gym Membership,50.00,debit
