Date,Description,Amount,Type
2024-09-01,Monthly Salary,8500.00,credit
2024-09-02,WeWork Coworking Space,450.00,debit
2024-09-03,Blue Bottle Coffee,6.75,debit
2024-09-04,Coursera Subscription,49.00,debit
2024-09-05,Apple iCloud Storage,2.99,debit
2024-09-06,Doordash Lunch,23.50,debit
2024-09-07,LinkedIn Premium,39.99,debit
2024-09-08,GitHub Pro,7.00,debit
2024-09-09,Adobe Creative Cloud,54.99,debit
2024-09-10,Grubhub Dinner,31.20,debit
2024-09-12,Equinox Gym,215.00,debit
2024-09-13,ChatGPT Plus,20.00,debit
2024-09-14,AWS Cloud Services,127.43,debit
2024-09-15,Tesla Supercharger,18.50,debit
2024-09-16,Whole Foods Groceries,156.80,debit
2024-09-18,Notion Subscription,10.00,debit
2024-09-19,Figma Professional,15.00,debit
2024-09-20,Rent Payment,3200.00,debit
2024-09-21,Blue Bottle Coffee,7.25,debit
2024-09-22,Freelance Project Payment,2500.00,credit
2024-09-23,Apple MacBook Pro,2899.00,debit
2024-09-24,Airbnb Weekend Trip,485.00,debit
2024-09-25,United Airlines,420.00,debit
2024-09-26,PG&E Electric Bill,145.00,debit
2024-09-27,Comcast Internet,89.99,debit
2024-09-28,Doordash Dinner,28.75,debit
2024-09-29,Audible Subscription,14.95,debit
2024-09-30,Blue Bottle Coffee,6.50,debit
2024-10-01,Monthly Salary,8500.00,credit
2024-10-02,WeWork Coworking Space,450.00,debit
2024-10-03,Sweetgreen Lunch,15.80,debit
2024-10-04,Udemy Course Bundle,89.99,debit
2024-10-05,Apple iCloud Storage,2.99,debit
2024-10-06,Tesla Insurance,185.00,debit
2024-10-07,LinkedIn Premium,39.99,debit
2024-10-08,GitHub Pro,7.00,debit
2024-10-09,Adobe Creative Cloud,54.99,debit
2024-10-10,Grubhub Lunch,19.50,debit
2024-10-11,Equinox Gym,215.00,debit
2024-10-12,Spotify Premium,10.99,debit
2024-10-13,AWS Cloud Services,234.87,debit
2024-10-14,Tesla Supercharger,22.30,debit
2024-10-15,Trader Joes Groceries,98.45,debit
2024-10-16,Notion Subscription,10.00,debit
2024-10-17,Apple Watch Ultra,799.00,debit
2024-10-18,Investment Dividend,350.00,credit
2024-10-19,Sweetgreen Dinner,18.90,debit
2024-10-20,Rent Payment,3200.00,debit
2024-10-21,Blue Bottle Coffee,6.75,debit
2024-10-22,Stock Market Investment,1500.00,debit
2024-10-23,Sephora Skincare,145.00,debit
2024-10-24,AMC Movie Tickets,32.00,debit
2024-10-25,PG&E Electric Bill,132.00,debit
2024-10-26,Comcast Internet,89.99,debit
2024-10-27,Uber Rides,45.80,debit
2024-10-28,ClassPass Fitness,79.00,debit
2024-10-29,Warby Parker Glasses,195.00,debit
2024-10-30,Blue Bottle Coffee,7.00,debit
2024-11-01,Monthly Salary,8500.00,credit
2024-11-02,WeWork Coworking Space,450.00,debit
2024-11-03,Postmates Lunch,22.40,debit
2024-11-04,MasterClass Subscription,180.00,debit
2024-11-05,Apple iCloud Storage,2.99,debit
2024-11-06,Tesla Payment,650.00,debit
2024-11-07,LinkedIn Premium,39.99,debit
2024-11-08,GitHub Pro,7.00,debit
2024-11-09,Adobe Creative Cloud,54.99,debit
2024-11-10,Seamless Dinner,34.60,debit
2024-11-11,Equinox Gym,215.00,debit
2024-11-12,Apple Music,10.99,debit
2024-11-13,AWS Cloud Services,298.56,debit
2024-11-14,Tesla Supercharger,25.70,debit
2024-11-15,Whole Foods Groceries,187.30,debit
2024-11-16,Calm Meditation App,69.99,debit
2024-11-17,Conference Registration,599.00,debit
2024-11-18,Side Hustle Payment,1200.00,credit
2024-11-19,Nordstrom Clothing,340.00,debit
2024-11-20,Rent Payment,3200.00,debit
